analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement
A3.12,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)""",text,"TOSTtwo(m1=equiv_array[3,11], m2=equiv_array[4,11], sd1=equiv_array[3,12], sd2=equiv_array[4,12], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:259,1,Two-sided equivalence test comparing overall recommendation ratings between significant-results vs. nonsignificant-results conditions.,"“Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen's d = -0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power) and α = .05 (see Table 5).”[...]“The upper and lower bounds for the equivalence test are the raw-score values corresponding to Cohen's d = ±0.50.”",,"TOSTtwo(m1=equiv_array[3,11], m2=equiv_array[4,11], sd1=equiv_array[3,12], sd2=equiv_array[4,12], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.12,variable specification,"Overall Recommendation, significant results vs. nonsignificant results",table,"#Overall Recommendation TOSTtwo(m1=equiv_array[3,11], m2=equiv_array[4,11], sd1=equiv_array[3,12], sd2=equiv_array[4,12], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:257, 259",1,Two-sided equivalence test comparing overall recommendation ratings between significant-results vs. nonsignificant-results conditions.,"“Dependent variables
The dependent variables relevant to our preregistered hypotheses were five evaluation criteria, overall recommendation, and a total score.[...]Recommendation. Additionally, reviewers were asked to provide an overall recommendation on a scale from 0, definitely reject, to 10, definitely accept.”[...]“Compared with reviewers in the nonsignificant-results conditions, those in the significant-results conditions evaluated the study's significance to media psychology (ω² = .017) and the quality of the presentation and discussion of results (ω² = .050) slightly more positively and gave slightly more favorable recommendations for acceptance (ω² = .026).”[...]“Overall recommendation[...]Significant results (M = 7.09, SD = (2.09) vs.0.86 [0.19, 1.52]±1.13-0.682121.93.248 nonsignificant results (M = 6.24, SD = 2.41)”",,"equiv_array <- array(data = c(
  [...]
  mean(datafile$r_overall[datafile$c_original==1]), 
  mean(datafile$r_overall[datafile$c_original==2]), 
  mean(datafile$r_overall[datafile$c_significance==1]), 
  mean(datafile$r_overall[datafile$c_significance==2]), 
  sd(datafile$r_overall[datafile$c_original==1]), 
  sd(datafile$r_overall[datafile$c_original==2]), 
  sd(datafile$r_overall[datafile$c_significance==1]), 
  sd(datafile$r_overall[datafile$c_significance==2]), 
  [...])

n_sig=length(datafile$c_significance[datafile$c_significance==1])
n_nonsig=length(datafile$c_significance[datafile$c_significance==2])

#Overall Recommendation
TOSTtwo(m1=equiv_array[1,11], m2=equiv_array[2,11], sd1=equiv_array[1,12], sd2=equiv_array[2,12], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,11], m2=equiv_array[4,11], sd1=equiv_array[3,12], sd2=equiv_array[4,12], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.12,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,Two-sided equivalence test comparing overall recommendation ratings between significant-results vs. nonsignificant-results conditions.,"Recommendation. Additionally, reviewers were asked to provide an overall recommendation on a scale from 0, definitely reject, to 10, definitely accept.",,"group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    overall_m = mean(r_overall, na.rm = TRUE),
    overall_sd = sd(r_overall, na.rm = TRUE),
    overall_med = median(r_overall, na.rm = TRUE),
    overall_min = min(r_overall, na.rm = TRUE),
    overall_max = max(r_overall, na.rm = TRUE)
  )
[...]
#Overall Recommendation
TOSTtwo(m1=equiv_array[1,11], m2=equiv_array[2,11], sd1=equiv_array[1,12], sd2=equiv_array[2,12], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,11], m2=equiv_array[4,11], sd1=equiv_array[3,12], sd2=equiv_array[4,12], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.12,variable specification,"Overall Recommendation, significant results vs. nonsignificant results",table,"#Overall Recommendation TOSTtwo(m1=equiv_array[3,11], m2=equiv_array[4,11], sd1=equiv_array[3,12], sd2=equiv_array[4,12], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:257, 259",1,Two-sided equivalence test comparing overall recommendation ratings between significant-results vs. nonsignificant-results conditions.,"“Dependent variables
The dependent variables relevant to our preregistered hypotheses were five evaluation criteria, overall recommendation, and a total score.[...]Recommendation. Additionally, reviewers were asked to provide an overall recommendation on a scale from 0, definitely reject, to 10, definitely accept.”[...]“Compared with reviewers in the nonsignificant-results conditions, those in the significant-results conditions evaluated the study's significance to media psychology (ω² = .017) and the quality of the presentation and discussion of results (ω² = .050) slightly more positively and gave slightly more favorable recommendations for acceptance (ω² = .026).”[...]“Overall recommendation[...]Significant results (M = 7.09, SD = (2.09) vs.0.86 [0.19, 1.52]±1.13-0.682121.93.248 nonsignificant results (M = 6.24, SD = 2.41)”",,"equiv_array <- array(data = c(
  [...]
  mean(datafile$r_overall[datafile$c_original==1]), 
  mean(datafile$r_overall[datafile$c_original==2]), 
  mean(datafile$r_overall[datafile$c_significance==1]), 
  mean(datafile$r_overall[datafile$c_significance==2]), 
  sd(datafile$r_overall[datafile$c_original==1]), 
  sd(datafile$r_overall[datafile$c_original==2]), 
  sd(datafile$r_overall[datafile$c_significance==1]), 
  sd(datafile$r_overall[datafile$c_significance==2]), 
  [...])

n_sig=length(datafile$c_significance[datafile$c_significance==1])
n_nonsig=length(datafile$c_significance[datafile$c_significance==2])

#Overall Recommendation
TOSTtwo(m1=equiv_array[1,11], m2=equiv_array[2,11], sd1=equiv_array[1,12], sd2=equiv_array[2,12], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,11], m2=equiv_array[4,11], sd1=equiv_array[3,12], sd2=equiv_array[4,12], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.12,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,Two-sided equivalence test comparing overall recommendation ratings between significant-results vs. nonsignificant-results conditions.,"Recommendation. Additionally, reviewers were asked to provide an overall recommendation on a scale from 0, definitely reject, to 10, definitely accept.",,"group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    overall_m = mean(r_overall, na.rm = TRUE),
    overall_sd = sd(r_overall, na.rm = TRUE),
    overall_med = median(r_overall, na.rm = TRUE),
    overall_min = min(r_overall, na.rm = TRUE),
    overall_max = max(r_overall, na.rm = TRUE)
  )
[...]
#Overall Recommendation
TOSTtwo(m1=equiv_array[1,11], m2=equiv_array[2,11], sd1=equiv_array[1,12], sd2=equiv_array[2,12], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,11], m2=equiv_array[4,11], sd1=equiv_array[3,12], sd2=equiv_array[4,12], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.12,variable specification,"Overall Recommendation, significant results vs. nonsignificant results",table,"#Overall Recommendation TOSTtwo(m1=equiv_array[3,11], m2=equiv_array[4,11], sd1=equiv_array[3,12], sd2=equiv_array[4,12], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:257, 259",1,Two-sided equivalence test comparing overall recommendation ratings between significant-results vs. nonsignificant-results conditions.,"“Dependent variables
The dependent variables relevant to our preregistered hypotheses were five evaluation criteria, overall recommendation, and a total score.[...]Recommendation. Additionally, reviewers were asked to provide an overall recommendation on a scale from 0, definitely reject, to 10, definitely accept.”[...]“Compared with reviewers in the nonsignificant-results conditions, those in the significant-results conditions evaluated the study's significance to media psychology (ω² = .017) and the quality of the presentation and discussion of results (ω² = .050) slightly more positively and gave slightly more favorable recommendations for acceptance (ω² = .026).”[...]“Overall recommendation[...]Significant results (M = 7.09, SD = (2.09) vs.0.86 [0.19, 1.52]±1.13-0.682121.93.248 nonsignificant results (M = 6.24, SD = 2.41)”",,"equiv_array <- array(data = c(
  [...]
  mean(datafile$r_overall[datafile$c_original==1]), 
  mean(datafile$r_overall[datafile$c_original==2]), 
  mean(datafile$r_overall[datafile$c_significance==1]), 
  mean(datafile$r_overall[datafile$c_significance==2]), 
  sd(datafile$r_overall[datafile$c_original==1]), 
  sd(datafile$r_overall[datafile$c_original==2]), 
  sd(datafile$r_overall[datafile$c_significance==1]), 
  sd(datafile$r_overall[datafile$c_significance==2]), 
  [...])

n_sig=length(datafile$c_significance[datafile$c_significance==1])
n_nonsig=length(datafile$c_significance[datafile$c_significance==2])

#Overall Recommendation
TOSTtwo(m1=equiv_array[1,11], m2=equiv_array[2,11], sd1=equiv_array[1,12], sd2=equiv_array[2,12], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,11], m2=equiv_array[4,11], sd1=equiv_array[3,12], sd2=equiv_array[4,12], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.12,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,Two-sided equivalence test comparing overall recommendation ratings between significant-results vs. nonsignificant-results conditions.,"Recommendation. Additionally, reviewers were asked to provide an overall recommendation on a scale from 0, definitely reject, to 10, definitely accept.",,"group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    overall_m = mean(r_overall, na.rm = TRUE),
    overall_sd = sd(r_overall, na.rm = TRUE),
    overall_med = median(r_overall, na.rm = TRUE),
    overall_min = min(r_overall, na.rm = TRUE),
    overall_max = max(r_overall, na.rm = TRUE)
  )
[...]
#Overall Recommendation
TOSTtwo(m1=equiv_array[1,11], m2=equiv_array[2,11], sd1=equiv_array[1,12], sd2=equiv_array[2,12], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,11], m2=equiv_array[4,11], sd1=equiv_array[3,12], sd2=equiv_array[4,12], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.12,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[3,11], m2=equiv_array[4,11], sd1=equiv_array[3,12], sd2=equiv_array[4,12], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:259,1,Two-sided equivalence test comparing overall recommendation ratings between significant-results vs. nonsignificant-results conditions.,"“Given the number of tests, there was an inflated probability of false positives for a default criterion of Cronbach's α = .05. Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen's d = -0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power) and α = .05 (see Table 5).”[...]“Sample sizes for all tests were as follows: original study-n = 62; replication-n = 65; significant results-n = 64; nonsignificant results-n = 63. Values in parentheses are standard deviations. Values in brackets are 90% confidence intervals. The upper and lower bounds for the equivalence test are the raw-score values corresponding to Cohen's d = ±0.50.”[...]“Overall recommendation[...]Significant results (M = 7.09, SD = (2.09) vs.0.86 [0.19, 1.52]±1.13-0.682121.93.248 nonsignificant results (M = 6.24, SD = 2.41)”",,"TOSTtwo(m1=equiv_array[3,11], m2=equiv_array[4,11], sd1=equiv_array[3,12], sd2=equiv_array[4,12], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.13,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)""",text,"TOSTtwo(m1=equiv_array[1,13], m2=equiv_array[2,13], sd1=equiv_array[1,14], sd2=equiv_array[2,14], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:262,1,Two-sided equivalence test comparing total scores between significant-results vs. nonsignificant-results conditions.,"“Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen's d = -0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power) and α = .05 (see Table 5).” [...] “Table 5 .5 Summary of the Equivalence Tests for All Main Effects on the Dependent Variables [...] Total score [...] Significant results (M = 7.02, SD = 1.76) vs.0.71 [0.16, 1.25]±0.93-0.675123.28.250 nonsignificant results (M = 6.32, SD = 1.95)”",,"#Total Score
TOSTtwo(m1=equiv_array[3,13], m2=equiv_array[4,13], sd1=equiv_array[3,14], sd2=equiv_array[4,14], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.13,variable specification,"Total Score, original study vs. replication",table,"#Total Score TOSTtwo(m1=equiv_array[1,13], m2=equiv_array[2,13], sd1=equiv_array[1,14], sd2=equiv_array[2,14], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:261, 262",1,Two-sided equivalence test comparing total scores between significant-results vs. nonsignificant-results conditions.,"“Total score. For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).”[...]“Compared with reviewers in the nonsignificant-results conditions, those in the significant-results conditions evaluated the study's significance to media psychology (ω² = .017) and the quality of the presentation and discussion of results (ω² = .050) slightly more positively and gave slightly more favorable recommendations for acceptance (ω² = .026). As a result, total scores were higher in the significant-results conditions than in the nonsignificant-results conditions (ω² = .026).”[...]“Total score[...] Significant results (M = 7.02, SD = 1.76) vs.0.71 [0.16, 1.25]±0.93-0.675123.28.250 nonsignificant results (M = 6.32, SD = 1.95)”",,"a_total <- aov(
  r_total ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
[...]
  mean(datafile$r_total[datafile$c_original==1]), 
  mean(datafile$r_total[datafile$c_original==2]), 
  mean(datafile$r_total[datafile$c_significance==1]), 
  mean(datafile$r_total[datafile$c_significance==2]), 
  sd(datafile$r_total[datafile$c_original==1]), 
  sd(datafile$r_total[datafile$c_original==2]), 
  sd(datafile$r_total[datafile$c_significance==1]), 
  sd(datafile$r_total[datafile$c_significance==2])), 
  dim = c(4,14), dimname = NULL)
[...]
#Total Score
TOSTtwo(m1=equiv_array[1,13], m2=equiv_array[2,13], sd1=equiv_array[1,14], sd2=equiv_array[2,14], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,13], m2=equiv_array[4,13], sd1=equiv_array[3,14], sd2=equiv_array[4,14], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.13,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,Two-sided equivalence test comparing total scores between significant-results vs. nonsignificant-results conditions.,"“Total score. For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).”",,"“#Descriptives: Total
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    total_m = mean(r_total, na.rm = TRUE),
    total_sd = sd(r_total, na.rm = TRUE),
    total_med = median(r_total, na.rm = TRUE),
    total_min = min(r_total, na.rm = TRUE),
    total_max = max(r_total, na.rm = TRUE)
  )
[...]
a_total <- aov(
  r_total ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
[...]
#Total Score
TOSTtwo(m1=equiv_array[1,13], m2=equiv_array[2,13], sd1=equiv_array[1,14], sd2=equiv_array[2,14], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,13], m2=equiv_array[4,13], sd1=equiv_array[3,14], sd2=equiv_array[4,14], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)”",,
A3.13,variable specification,"Total Score, original study vs. replication",table,"#Total Score TOSTtwo(m1=equiv_array[1,13], m2=equiv_array[2,13], sd1=equiv_array[1,14], sd2=equiv_array[2,14], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:261, 262",1,Two-sided equivalence test comparing total scores between significant-results vs. nonsignificant-results conditions.,"“Total score. For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).”[...]“Compared with reviewers in the nonsignificant-results conditions, those in the significant-results conditions evaluated the study's significance to media psychology (ω² = .017) and the quality of the presentation and discussion of results (ω² = .050) slightly more positively and gave slightly more favorable recommendations for acceptance (ω² = .026). As a result, total scores were higher in the significant-results conditions than in the nonsignificant-results conditions (ω² = .026).”[...]“Total score[...] Significant results (M = 7.02, SD = 1.76) vs.0.71 [0.16, 1.25]±0.93-0.675123.28.250 nonsignificant results (M = 6.32, SD = 1.95)”",,"a_total <- aov(
  r_total ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
[...]
  mean(datafile$r_total[datafile$c_original==1]), 
  mean(datafile$r_total[datafile$c_original==2]), 
  mean(datafile$r_total[datafile$c_significance==1]), 
  mean(datafile$r_total[datafile$c_significance==2]), 
  sd(datafile$r_total[datafile$c_original==1]), 
  sd(datafile$r_total[datafile$c_original==2]), 
  sd(datafile$r_total[datafile$c_significance==1]), 
  sd(datafile$r_total[datafile$c_significance==2])), 
  dim = c(4,14), dimname = NULL)
[...]
#Total Score
TOSTtwo(m1=equiv_array[1,13], m2=equiv_array[2,13], sd1=equiv_array[1,14], sd2=equiv_array[2,14], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,13], m2=equiv_array[4,13], sd1=equiv_array[3,14], sd2=equiv_array[4,14], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.13,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,Two-sided equivalence test comparing total scores between significant-results vs. nonsignificant-results conditions.,"“Total score. For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).”",,"“#Descriptives: Total
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    total_m = mean(r_total, na.rm = TRUE),
    total_sd = sd(r_total, na.rm = TRUE),
    total_med = median(r_total, na.rm = TRUE),
    total_min = min(r_total, na.rm = TRUE),
    total_max = max(r_total, na.rm = TRUE)
  )
[...]
a_total <- aov(
  r_total ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
[...]
#Total Score
TOSTtwo(m1=equiv_array[1,13], m2=equiv_array[2,13], sd1=equiv_array[1,14], sd2=equiv_array[2,14], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,13], m2=equiv_array[4,13], sd1=equiv_array[3,14], sd2=equiv_array[4,14], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)”",,
A3.13,variable specification,"Total Score, original study vs. replication",table,"#Total Score TOSTtwo(m1=equiv_array[1,13], m2=equiv_array[2,13], sd1=equiv_array[1,14], sd2=equiv_array[2,14], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:261, 262",1,Two-sided equivalence test comparing total scores between significant-results vs. nonsignificant-results conditions.,"“Total score. For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).”[...]“Compared with reviewers in the nonsignificant-results conditions, those in the significant-results conditions evaluated the study's significance to media psychology (ω² = .017) and the quality of the presentation and discussion of results (ω² = .050) slightly more positively and gave slightly more favorable recommendations for acceptance (ω² = .026). As a result, total scores were higher in the significant-results conditions than in the nonsignificant-results conditions (ω² = .026).”[...]“Total score[...] Significant results (M = 7.02, SD = 1.76) vs.0.71 [0.16, 1.25]±0.93-0.675123.28.250 nonsignificant results (M = 6.32, SD = 1.95)”",,"a_total <- aov(
  r_total ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
[...]
  mean(datafile$r_total[datafile$c_original==1]), 
  mean(datafile$r_total[datafile$c_original==2]), 
  mean(datafile$r_total[datafile$c_significance==1]), 
  mean(datafile$r_total[datafile$c_significance==2]), 
  sd(datafile$r_total[datafile$c_original==1]), 
  sd(datafile$r_total[datafile$c_original==2]), 
  sd(datafile$r_total[datafile$c_significance==1]), 
  sd(datafile$r_total[datafile$c_significance==2])), 
  dim = c(4,14), dimname = NULL)
[...]
#Total Score
TOSTtwo(m1=equiv_array[1,13], m2=equiv_array[2,13], sd1=equiv_array[1,14], sd2=equiv_array[2,14], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,13], m2=equiv_array[4,13], sd1=equiv_array[3,14], sd2=equiv_array[4,14], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.13,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,Two-sided equivalence test comparing total scores between significant-results vs. nonsignificant-results conditions.,"“Total score. For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).”",,"“#Descriptives: Total
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    total_m = mean(r_total, na.rm = TRUE),
    total_sd = sd(r_total, na.rm = TRUE),
    total_med = median(r_total, na.rm = TRUE),
    total_min = min(r_total, na.rm = TRUE),
    total_max = max(r_total, na.rm = TRUE)
  )
[...]
a_total <- aov(
  r_total ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
[...]
#Total Score
TOSTtwo(m1=equiv_array[1,13], m2=equiv_array[2,13], sd1=equiv_array[1,14], sd2=equiv_array[2,14], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,13], m2=equiv_array[4,13], sd1=equiv_array[3,14], sd2=equiv_array[4,14], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)”",,
A3.13,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[1,13], m2=equiv_array[2,13], sd1=equiv_array[1,14], sd2=equiv_array[2,14], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:262,1,Two-sided equivalence test comparing total scores between significant-results vs. nonsignificant-results conditions.,"""Given the number of tests, there was an inflated probability of false positives for a default criterion of Cronbach's α = .05. Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen's d = -0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power) and α = .05 (see Table 5)."" [...] ""Values in parentheses are standard deviations. Values in brackets are 90% confidence intervals. The upper and lower bounds for the equivalence test are the raw-score values corresponding to Cohen's d = ±0.50.""",,"TOSTtwo(m1=equiv_array[3,13], m2=equiv_array[4,13], sd1=equiv_array[3,14], sd2=equiv_array[4,14], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.14,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)""",text,"TOSTtwo(m1=equiv_array[3,13], m2=equiv_array[4,13], sd1=equiv_array[3,14], sd2=equiv_array[4,14], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:263,1,,,,,,
A3.14,variable specification,"Total Score, significant results vs. nonsignificant results",table,"#Total Score TOSTtwo(m1=equiv_array[3,13], m2=equiv_array[4,13], sd1=equiv_array[3,14], sd2=equiv_array[4,14], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:261, 263",1,,,,,,
A3.14,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.14,variable specification,"Total Score, significant results vs. nonsignificant results",table,"#Total Score TOSTtwo(m1=equiv_array[3,13], m2=equiv_array[4,13], sd1=equiv_array[3,14], sd2=equiv_array[4,14], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:261, 263",1,,,,,,
A3.14,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.14,variable specification,"Total Score, significant results vs. nonsignificant results",table,"#Total Score TOSTtwo(m1=equiv_array[3,13], m2=equiv_array[4,13], sd1=equiv_array[3,14], sd2=equiv_array[4,14], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:261, 263",1,,,,,,
A3.14,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.14,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[3,13], m2=equiv_array[4,13], sd1=equiv_array[3,14], sd2=equiv_array[4,14], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:263,1,,,,,,
